FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
/kadalu/ServiceAccount/kadalu-operator/path=2039096372/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator/path=4088997222/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
/litmus/ServiceAccount/litmus-server-account/path=2873572676/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argo-crb-for-litmusportal-server/path=3103580362/api=rbac.authorization.k8s.io/v1//ClusterRole/argo-cr-for-litmusportal-server,Medium,Prevent containers from allowing command execution,58,862,93.27146
/system/ServiceAccount/default/path=1403845679/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=2328894576/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=1052549242/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller/path=1149708715/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/litmus/ServiceAccount/litmus-server-account/path=2806462200/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin-crb-for-litmusportal-server/path=3036469886/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin-cr-for-litmusportal-server,Medium,Prevent containers from allowing command execution,58,862,93.27146
//ServiceAccount/litmus-admin/path=548007432/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin/path=598340289/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=1052549242/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller/path=2006879307/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/litmus/ServiceAccount/litmus-server-account/path=2873572676/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argo-crb-for-litmusportal-server/path=2890350295/api=rbac.authorization.k8s.io/v1//ClusterRole/argo-cr-for-litmusportal-server,Medium,Prevent containers from allowing command execution,58,862,93.27146
/litmus/ServiceAccount/litmus-server-account/path=2823239819/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin-cr-for-litmusportal-server/path=3053247505/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin-crb-for-litmusportal-server,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=1052549242/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller/path=2092655285/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/monitoring/ServiceAccount/prometheus-k8s/path=1029822911/api=rbac.authorization.k8s.io/v1//ClusterRole/prometheus-k8s/path=3417888247/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/prometheus-k8s,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kadalu/ServiceAccount/kadalu-operator/path=2055873991/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=2120798427/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=1149708715/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=469512062/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kadalu/ServiceAccount/kadalu-operator/path=2015042935/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator/path=4088997222/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
/webapp/ServiceAccount/reconciler/path=2068898884/api=rbac.authorization.k8s.io/v1/webapp/Role/reconciler/path=2119231741/api=rbac.authorization.k8s.io/v1/webapp/RoleBinding/reconciler,Medium,Prevent containers from allowing command execution,58,862,93.27146
//ServiceAccount/argo/path=2159092259/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argo-binding/path=2175869878/api=rbac.authorization.k8s.io/v1//ClusterRole/argo-cluster-role,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=4076397629/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller/path=951736433/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=2006879307/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=981785430/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=1149708715/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=4076397629/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/litmus/ServiceAccount/litmus-server-account/path=3036469886/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin-cr-for-litmusportal-server/path=3053247505/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin-crb-for-litmusportal-server,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kadalu/ServiceAccount/kadalu-operator/path=2104020808/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=2120798427/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=2006879307/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=469512062/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/system/ServiceAccount/default/path=1361336998/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=2328894576/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kadalu/ServiceAccount/kadalu-operator/path=2039096372/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator/path=2055873991/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=1149708715/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=981785430/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/litmus/ServiceAccount/litmus-server-account/path=2890350295/api=rbac.authorization.k8s.io/v1//ClusterRole/argo-cr-for-litmusportal-server/path=3120357981/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argo-crb-for-litmusportal-server,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kadalu/ServiceAccount/kadalu-operator/path=2015042935/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator/path=2055873991/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
/secure/ServiceAccount/reconciler/path=1189545252/api=rbac.authorization.k8s.io/v1/secure/Role/reconciler/path=1239878109/api=rbac.authorization.k8s.io/v1/secure/RoleBinding/reconciler,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kadalu/ServiceAccount/kadalu-operator/path=2039096372/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator/path=2104020808/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kubeeye-system/ServiceAccount/kubeeye-controller-manager/path=3623558866/api=rbac.authorization.k8s.io/v1//ClusterRole/kubeeye-manager-role/path=3690669342/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/kubeeye-manager-rolebinding,Medium,Prevent containers from allowing command execution,58,862,93.27146
/argocd/ServiceAccount/argocd-application-controller/path=2092655285/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=981785430/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Prevent containers from allowing command execution,58,862,93.27146
/spire/ServiceAccount/spire-server/path=2115037116/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-role-binding/path=2328894576/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kadalu/ServiceAccount/kadalu-operator/path=1998265316/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=2120798427/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
/litmus/ServiceAccount/litmus-server-account/path=3103580362/api=rbac.authorization.k8s.io/v1//ClusterRole/argo-cr-for-litmusportal-server/path=3120357981/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argo-crb-for-litmusportal-server,Medium,Prevent containers from allowing command execution,58,862,93.27146
/kadalu/ServiceAccount/kadalu-operator/path=1998265316/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=2015042935/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Prevent containers from allowing command execution,58,862,93.27146
