FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
assets\project-yamls\YAMLfiles\repos\longhorn\deploy\prerequisite\longhorn-iscsi-installation.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\litmus\monitoring\utils\metrics-exporters-with-service-monitors\node-exporter\daemonset.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\istio\common\scripts\metallb-native.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\litmus\monitoring\utils\metrics-exporters\node-exporter\daemonset.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\istio\prow\config\calico.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\longhorn\deploy\prerequisite\longhorn-cifs-installation.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\longhorn\deploy\prerequisite\longhorn-spdk-setup.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\longhorn\deploy\prerequisite\longhorn-nfs-installation.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\istio\samples\security\spire\spire-quickstart.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\kubeshark\manifests\complete.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\longhorn\deploy\prerequisite\longhorn-nvme-cli-installation.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\cluster-monitoring\manifests\node-exporter-daemonset.yaml,High,HostNetwork access,12,385,96.88312
assets\project-yamls\YAMLfiles\repos\litmus\demo\kubecon-demo\2020-NA\App\nginx_demo.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\pyrra\examples\kubernetes\manifests-webhook\pyrra-apiDeployment.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\pyrra\examples\openshift\manifests\pyrra-kubernetesDeployment.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\istio\samples\ratelimit\rate-limit-service.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\nacos-k8s\deploy\nacos\nacos-no-pvc-ingress.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\seldon-core\operator\config\lite\patch_manager_env.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\postgres-operator\config\singlenamespace\manager-target.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\seldon-core\operator\config\default\manager_webhook_patch.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\argo-cd\manifests\install.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\kuma\pkg\plugins\resources\k8s\native\config\default\manager_image_patch.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\productpage.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\argo-cd\manifests\ha\base\overlays\argocd-server-deployment.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\longhorn\deploy\prerequisite\longhorn-iscsi-installation.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\istio\samples\ambient-argo\application\details.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\kadalu\manifests\kadalu-operator-openshift.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\istio\samples\open-telemetry\otel.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\mongodb-enterprise-kubernetes\mongodb-enterprise-multi-cluster.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\litmus\chaoscenter\graphql\server\manifests\namespace\3b_agents_deployment.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-psa.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\cluster-monitoring\manifests\prometheus-adapter-deployment.yaml,Medium,Configured liveness probe,299,385,22.337662
assets\project-yamls\YAMLfiles\repos\kuberay\ray-operator\config\samples\ray-service.high-availability.yaml,Medium,Configured liveness probe,299,385,22.337662
